                                     Pradiniai duomenys
------------------------------------------------------------------------------------
|          Gamintojas|    Pagaminimo metai|                Rida|  Filtravimo numeris|
------------------------------------------------------------------------------------
|             Porsche|                2010|           146427.39|            24157817|
|           Chevrolet|                2010|            35566.92|                   2|
|       Mercedes-Benz|                2012|            344558.2|                  13|
|           Chevrolet|                2017|           51082.695|                   8|
|           Chevrolet|                2015|            371087.9|                  34|
|              Nissan|                2013|           268429.66|                   0|
|                 GMC|                2014|           30682.691|                  13|
|                 GMC|                2013|           148959.08|                   2|
|               Honda|                2017|            280252.4|               10946|
|          Mitsubishi|                2017|           229623.53|            24157817|
|                Ford|                2015|           294886.06|                  89|
|           Chevrolet|                2016|           276393.97|            14930352|
|                 GMC|                2018|            349375.6|               46368|
|                 GMC|                2016|           182622.89|              514229|
|         Rolls-Royce|                2011|            227100.4|             3524578|
|               Mazda|                2019|           260200.47|                 987|
|            Maserati|                2019|           195228.31|                   3|
|                Ford|                2019|           237723.53|                 144|
|          Land Rover|                2019|           91760.484|                 610|
|             Pontiac|                2015|          114190.695|                   5|
|               Volvo|                2011|            413319.3|                 987|
|           Chevrolet|                2013|           195929.94|                  34|
|               Mazda|                2012|              300975|               46368|
|               Mazda|                2015|           217811.84|               28657|
|             Lincoln|                2017|           419579.66|             2178309|
|              Saturn|                2014|           24640.137|                1597|
|               Mazda|                2013|           336965.66|                 610|
|                Ford|                2019|           253777.84|              121393|
|             Hyundai|                2010|           474354.38|            14930352|
|                 BMW|                2017|           307232.03|             9227465|
|               Dodge|                2018|           10515.401|                   1|
|       Mercedes-Benz|                2017|           440400.03|                 377|
|               Volvo|                2013|           90485.336|               46368|
|                Ford|                2013|           358739.47|               17711|
|          Volkswagen|                2010|           380678.72|                 377|
|               Mazda|                2016|           357117.88|                  55|
|          Land Rover|                2010|           392244.16|                  55|
|                Ford|                2016|           121759.18|                   5|
|               Lexus|                2012|           241113.03|                   1|
|            Infiniti|                2010|           432056.84|                4181|
|          Mitsubishi|                2013|           437427.25|            24157817|
|                Audi|                2014|           383976.06|                 610|
|            Chrysler|                2018|            441560.7|                   5|
|              Toyota|                2016|            332894.3|             5702887|
|              Suzuki|                2013|           316755.38|                  89|
|          Volkswagen|                2017|              311943|                   8|
|           Chevrolet|                2010|            45750.56|              196418|
|              Toyota|                2014|            72495.53|             3524578|
|                 Kia|                2016|            363767.3|                2584|
|            Infiniti|                2010|           449345.88|              317811|
|                Ford|                2011|           110886.44|                  13|
|                Ford|                2011|           117277.07|            39088169|
|                Ford|                2010|           466663.25|               28657|
|       Mercedes-Benz|                2013|           191487.44|                1597|
|                 BMW|                2012|           370770.12|                  21|
|                 BMW|                2018|            246787.6|             1346269|
|           Chevrolet|                2014|            385273.7|             5702887|
|           Chevrolet|                2011|            81651.16|                  34|
|              Nissan|                2015|            323698.3|             1346269|
|           Chevrolet|                2013|            438206.2|                   8|
|              Toyota|                2018|            281780.9|                   1|
|              Jaguar|                2013|            400960.1|                  13|
|               Dodge|                2016|           142091.27|                 610|
|          Volkswagen|                2010|           193326.84|               17711|
|              Toyota|                2018|           299553.72|                 610|
|          Land Rover|                2015|           180341.56|             2178309|
|                 BMW|                2018|           446958.78|                   1|
|              Suzuki|                2014|           342440.25|                1597|
|              Toyota|                2019|           469215.47|            39088169|
|                Ford|                2018|           306722.28|                  55|
|               Dodge|                2014|           493711.84|             3524578|
|                Audi|                2016|           83773.016|                 377|
|            Cadillac|                2014|           404168.47|                  34|
|               Dodge|                2011|           324118.94|            24157817|
|                Ford|                2010|            172439.7|            63245986|
|                Ford|                2013|           202040.56|                   2|
|               Isuzu|                2019|            71089.11|               10946|
|            Plymouth|                2016|             28847.5|               28657|
|            Cadillac|                2010|           305847.38|                   3|
|            Maserati|                2010|            278257.7|               46368|
|             Pontiac|                2017|           443275.12|                 144|
|              Toyota|                2019|           80504.336|                  13|
|             Bentley|                2019|           216174.06|                4181|
|              Suzuki|                2019|           116579.96|                   1|
|              Nissan|                2017|           343642.03|                1597|
|               Acura|                2018|           116629.16|             2178309|
|          Mitsubishi|                2013|            59328.54|                2584|
|               Dodge|                2012|           439554.97|             5702887|
|               Isuzu|                2011|           385888.72|                 144|
|            Cadillac|                2018|           484447.22|                 144|
|             Mercury|                2013|           470384.28|             5702887|
|          Land Rover|                2014|           106548.19|            39088169|
|          Volkswagen|                2015|            75853.13|             5702887|
|                Ford|                2011|            168404.8|                   5|
|              Subaru|                2017|           229687.84|              196418|
|               Acura|                2012|            75537.38|                 377|
|         Rolls-Royce|                2012|           192821.58|             9227465|
|             Bentley|                2016|           432461.94|               28657|
|                Ford|                2011|           128698.11|                4181|
|             Lincoln|                2014|            30270.84|                   0|


                                      Rezultatas
------------------------------------------------------------------------------------
|          Gamintojas|    Pagaminimo metai|                Rida|  Filtravimo numeris|
------------------------------------------------------------------------------------
|             Lincoln|                2014|            30270.84|                   0|
|              Nissan|                2013|           268429.66|                   0|
|                 BMW|                2018|           446958.78|                   1|
|               Lexus|                2012|           241113.03|                   1|
|               Dodge|                2018|           10515.401|                   1|
|              Toyota|                2018|            281780.9|                   1|
|              Suzuki|                2019|           116579.96|                   1|
|           Chevrolet|                2010|            35566.92|                   2|
|                 GMC|                2013|           148959.08|                   2|
|                Ford|                2013|           202040.56|                   2|
|            Cadillac|                2010|           305847.38|                   3|
|            Maserati|                2019|           195228.31|                   3|
|                Ford|                2011|            168404.8|                   5|
|                Ford|                2016|           121759.18|                   5|
|             Pontiac|                2015|          114190.695|                   5|
|            Chrysler|                2018|            441560.7|                   5|
|          Volkswagen|                2017|              311943|                   8|
|           Chevrolet|                2017|           51082.695|                   8|
|           Chevrolet|                2013|            438206.2|                   8|
|                Ford|                2011|           110886.44|                  13|
|              Toyota|                2019|           80504.336|                  13|
|                 GMC|                2014|           30682.691|                  13|
|              Jaguar|                2013|            400960.1|                  13|
|       Mercedes-Benz|                2012|            344558.2|                  13|
|                 BMW|                2012|           370770.12|                  21|
|           Chevrolet|                2013|           195929.94|                  34|
|           Chevrolet|                2011|            81651.16|                  34|
|           Chevrolet|                2015|            371087.9|                  34|
|            Cadillac|                2014|           404168.47|                  34|
|               Mazda|                2016|           357117.88|                  55|
|                Ford|                2018|           306722.28|                  55|
|          Land Rover|                2010|           392244.16|                  55|
|              Suzuki|                2013|           316755.38|                  89|
|                Ford|                2015|           294886.06|                  89|
|                Ford|                2019|           237723.53|                 144|
|             Pontiac|                2017|           443275.12|                 144|
|            Cadillac|                2018|           484447.22|                 144|
|               Isuzu|                2011|           385888.72|                 144|
|                Audi|                2016|           83773.016|                 377|
|          Volkswagen|                2010|           380678.72|                 377|
